block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,373.2297,377.23,11,2026-03-18_12:40:26.103193,12:46:43.333062,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,378.2304,382.2297,12,2026-03-18_12:40:26.103193,12:46:48.332700,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,383.2301,387.2296,13,2026-03-18_12:40:26.103193,12:46:53.332650,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,B,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,388.2301,392.2297,14,2026-03-18_12:40:26.103193,12:46:58.332678,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,393.2291,397.2294,15,2026-03-18_12:40:26.103193,12:47:03.332438,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,D,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,398.2293,402.2296,16,2026-03-18_12:40:26.103193,12:47:08.332662,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,M,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,403.2291,407.2295,17,2026-03-18_12:40:26.103193,12:47:13.332564,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,408.2301,413.2289,18,2026-03-18_12:40:26.103193,12:47:19.331898,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,414.2302,418.23,19,2026-03-18_12:40:26.103193,12:47:24.333028,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,T,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,419.2295,423.23,20,2026-03-18_12:40:26.103193,12:47:29.332972,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,424.2295,428.2297,21,2026-03-18_12:40:26.103193,12:47:34.332728,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,429.229,433.2293,22,2026-03-18_12:40:26.103193,12:47:39.332322,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,C,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,434.2299,438.23,23,2026-03-18_12:40:26.103193,12:47:44.333027,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,439.2294,443.23,24,2026-03-18_12:40:26.103193,12:47:49.333016,
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,465.2297,470.2299,0,2026-03-18_12:40:26.103193,12:48:16.332898,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,W,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,471.2295,475.2298,1,2026-03-18_12:40:26.103193,12:48:21.332859,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,476.2292,480.2294,2,2026-03-18_12:40:26.103193,12:48:26.332385,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,481.2299,486.2298,3,2026-03-18_12:40:26.103193,12:48:32.332836,T
